course_no,course_name,category,testimonials,pace,price,difficulty,dsa_prerequisite,description,rating,duration,overview,prereq,mentor,doubt_support,link
1,Complete Interview Preparation,DS and Algorithms,"Pushp Sood
Placed at Amazon
GeeksforGeeks gave me a greater understanding of what the classroom taught me! Right from addressing all my queries even during the odd hours of the day to allowing me access to a plethora of valuable resources, everything was taken care of by GFG impeccably. I cannot thank the entire GFG squad enough for helping me crack Amazon on my very first attempt!

Adil
Placed at Amazon
Complete Interview Preparation course helped me a lot in increasing my DS skills. Before starting this course, I was very weak in this subject but this course was so good that after completing this course I was able to crack the coding tests at Amazon. I have received a full-time offer from Amazon as a Software Development Engineer with a package of 30 Lakhs. I only focused on the content of this course as it was very comprehensive and concise. Practicing some more problems based on the topics covered in this course was very useful. Not only DS but also the variety of concepts covered in this course were great varying from basics of C++ and Java concepts (OOPs concepts), aptitude skills, verbal and analytical skills, and also System design topics with examples. Thank you GFG!",Self-paced,6999,Beginner to Advance,no,"An interview-centric & placement-preparation course designed to prepare you for the role of SDE for product and service-based companies. Choose between JAVA OR C++ and learn Resume Building, DSA, Core Subjects, Aptitude, Reasoning, and much more!",4.9,The course content will be available for a period of 1 year from the date of purchase.,"Premium lectures, theoretical resources, and practice tracks
150+ hours of content by CEO & Founder Sandeep Jain and Industry Experts
250+ Exclusive Problems for Practice with video editorials and hints
500+ MCQs, 50+ Full Contests for SDE Experience
5 DSA Projects
Year-wise Guided Plan for Students
Structured into basic, advanced, and subjective modules
Supporting Notes for Exam Revisions
Comprehensive solution for coding interview success","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/complete-interview-preparation
2,Data Structures and Algorithms - Self Paced,DS and Algorithms,"Potta Lokesh
Intern at Microsoft
The courses on GFG are well structured. I enrolled in DSA DA and SDE theory. The way of explanation by the teachers is awesome. First I took the course in which Sandeep Jain (Founder of Geeks For Geeks) sir was the mentor. The course was really nice and it helps in knowing how we can figure out different solutions for other problems and every approach is explained from Brute force to optimal. The cost is really student-friendly and it is sure we are going to learn more than what we have paid. I took this course after going through many free resources like YouTube where I didn&#39;t find such structured content. SDE theory includes limited content but it covers all important concept which asked in interview. Finally, the course is really awesome and it helped me a lot.

Shreya Kumari
Placed at Barclays
I recently got an offer from Barclays for an analyst position. This course has been a one-stop destination for my placement preparation. From DSA to all the core subjects, I have solely prepared from this course. Sandeep sir has touched all the important topics with the best approach. This course has a huge role in getting me placed.",Self-paced,3999,Beginner to Advance,no,"Most popular course on DSA trusted by over 1,00,000+ students! Built with years of experience by industry experts the course gives you a complete package of video lectures, practice problems, quizzes, discussion forums, and contests. Start Today!",4.7,The course content will be available for a period of 1 year from the date of purchase.,"Instruction provided in C++ and Java by CEO & Founder Mr. Sandeep Jain.
60+ hours of recorded content for high-quality instruction.
6 months of 24x7 Doubt Assistance for personalized support.
Practice with 200+ industry-specific problems and 250+ MCQs.
Real-time coding experience with 10 coding contests.
In-depth learning with 5 DSA-implemented projects.
Extensive coverage of topics: Sorting, Strings, Heaps, Searching, Trees, etc.
Advanced topics coverage: Dynamic Programming, Segment Tree, etc
Tailored preparation for SDE interviews with companies like Microsoft, Amazon, Adobe, etc.","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/dsa-self-paced
3,Data Structures & Algorithms in JavaScript - Self Paced,DS and Algorithms,"Sachin Motwani
Placed at Oracle
The DSA self paced course is really helpful for performing well in an technical interview. The concept were explained clearly, and practice problems given were very helpful to implement the concepts learnt. Going through all topics thoroughly made me confident enough to crack the coding test and technical interviews of many top rated companies and got me a job at Oracle at a handsome pay. Kudos to GeeksforGeeks!!!

Nitin
Placed at Goldman Sachs
I recently got an offer from Goldman Sachs as an Analyst position. DSA Self paced course really helped me in complete preparation. I would like to thank Sandeep Jain Sir for making all the concepts crystal clear and the GeeksforGeeks team for providing a fantastic platform for interview preparation and practice.",Self-paced,3999,Beginner to Advance,no,"Most popular DSA course trusted by over 1,00,000+ students is now in the most popular language: JavaScript! Built with years of experience by industry experts this course gives you a complete package of lectures, practice problems, contests, and doubt support.",5,The course content will be available for a period of 1 year from the date of purchase.,"Instruction by CEO & Founder Mr. Sandeep Jain.
45+ hours of recorded content for high-quality instruction.
Get 6 months of personalized 24x7 Doubt Assistance.
Practice with 200+ exclusive industry-specific problems.
Access video editorials and hints for DSA problems.
250+ MCQs, including output-based questions.
Real-time coding experience with 10 coding contests.
Comprehensive 8-week guided curriculum for easy learning.
Utilize supporting notes for quick revisions.
Extensive coverage of topics: Sorting, Strings, Heaps, Searching, Trees, etc.","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/data-structures-and-algorithms-in-javascript
4,Data Structures & Algorithms in Python - Self Paced,DS and Algorithms,"Deepanshu
Placed in Cognizant as a Intern
I have a basic command in Algorithms and data structures but there was a lack of confidence while solving the problems. Before the course, I was practicing but not able to understand the topic in every aspect. With the help of the course and instructors teaching I successfully understand the core concepts and was able to apply them to solve related problems on my own. After practicing a bit more I successfully cracked many interviews and gained confidence in my coding skills. I am very grateful to the GFG team and their quality content.
user profile


Amith C R
Placed in Epsilon as a Software engineer
I was poor in coding and has no knowledge of DS, hence I took this course. Later, helped me a lot, they have a set of practice questions for each topic that helps in in-hand experience and is also useful for Competitive coding also. The best part of the course is the instructor, he made the concepts further easier.",Self-paced,3999,Beginner to Advance,no,"The most popular course on DSA trusted by over 100,000 students is now in Python! Built with years of experience by industry experts this course gives you a complete package of video lectures, practice problems, quizzes, discussion forums, contests, and instant doubt-support. Start Learning Today!!",4.7,The course content will be available for a period of 1 year from the date of purchase.,"Comprehensive DSA Course in Python, covering basics to advanced topics.
45+ hours of premium content by CEO & Founder Mr. Sandeep Jain.
Practice over 200+ exclusive problems with Python code support.
Test your knowledge with 250+ MCQs and 10 coding contests.
Access supporting notes/articles for quick revisions.
Suitable for beginners & experienced coders
No prior DSA knowledge is required.
Master Sorting, Strings, Heaps, Dynamic Programming, and more.
Prepare for SDE interviews with top companies like Microsoft, Amazon, etc.
Enhance Python programming skills alongside DSA concepts.","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/Data-Structures-With-Python
5,Complete Interview Preparation,Placement and Test Series,"Pushp Sood
Placed at Amazon
GeeksforGeeks gave me a greater understanding of what the classroom taught me! Right from addressing all my queries even during the odd hours of the day to allowing me access to a plethora of valuable resources, everything was taken care of by GFG impeccably. I cannot thank the entire GFG squad enough for helping me crack Amazon on my very first attempt!

Adil
Placed at Amazon
Complete Interview Preparation course helped me a lot in increasing my DS skills. Before starting this course, I was very weak in this subject but this course was so good that after completing this course I was able to crack the coding tests at Amazon. I have received a full-time offer from Amazon as a Software Development Engineer with a package of 30 Lakhs. I only focused on the content of this course as it was very comprehensive and concise. Practicing some more problems based on the topics covered in this course was very useful. Not only DS but also the variety of concepts covered in this course were great varying from basics of C++ and Java concepts (OOPs concepts), aptitude skills, verbal and analytical skills, and also System design topics with examples. Thank you GFG!",Self-paced,6999,Beginner to Advance,no,"An interview-centric & placement-preparation course designed to prepare you for the role of SDE for product and service-based companies. Choose between JAVA OR C++ and learn Resume Building, DSA, Core Subjects, Aptitude, Reasoning, and much more!",4.9,The course content will be available for a period of 1 year from the date of purchase.,"Premium lectures, theoretical resources, and practice tracks
150+ hours of content by CEO & Founder Sandeep Jain and Industry Experts
250+ Exclusive Problems for Practice with video editorials and hints
500+ MCQs, 50+ Full Contests for SDE Experience
5 DSA Projects
Year-wise Guided Plan for Students
Structured into basic, advanced, and subjective modules
Supporting Notes for Exam Revisions
Comprehensive solution for coding interview success","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/complete-interview-preparation
6,Data Structures and Algorithms - Self Paced,Placement and Test Series,"Potta Lokesh
Intern at Microsoft
The courses on GFG are well structured. I enrolled in DSA DA and SDE theory. The way of explanation by the teachers is awesome. First I took the course in which Sandeep Jain (Founder of Geeks For Geeks) sir was the mentor. The course was really nice and it helps in knowing how we can figure out different solutions for other problems and every approach is explained from Brute force to optimal. The cost is really student-friendly and it is sure we are going to learn more than what we have paid. I took this course after going through many free resources like YouTube where I didn&#39;t find such structured content. SDE theory includes limited content but it covers all important concept which asked in interview. Finally, the course is really awesome and it helped me a lot.

Shreya Kumari
Placed at Barclays
I recently got an offer from Barclays for an analyst position. This course has been a one-stop destination for my placement preparation. From DSA to all the core subjects, I have solely prepared from this course. Sandeep sir has touched all the important topics with the best approach. This course has a huge role in getting me placed.",Self-paced,3999,Beginner to Advance,no,"Most popular course on DSA trusted by over 1,00,000+ students! Built with years of experience by industry experts the course gives you a complete package of video lectures, practice problems, quizzes, discussion forums, and contests. Start Today!

",4.7,The course content will be available for a period of 1 year from the date of purchase.,"Instruction provided in C++ and Java by CEO & Founder Mr. Sandeep Jain.
60+ hours of recorded content for high-quality instruction.
6 months of 24x7 Doubt Assistance for personalized support.
Practice with 200+ industry-specific problems and 250+ MCQs.
Real-time coding experience with 10 coding contests.
In-depth learning with 5 DSA-implemented projects.
Extensive coverage of topics: Sorting, Strings, Heaps, Searching, Trees, etc.
Advanced topics coverage: Dynamic Programming, Segment Tree, etc
Tailored preparation for SDE interviews with companies like Microsoft, Amazon, Adobe, etc.","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/dsa-self-paced
7,Data Structures & Algorithms in JavaScript - Self Paced,Placement and Test Series,"Sachin Motwani
Placed at Oracle
The DSA self paced course is really helpful for performing well in an technical interview. The concept were explained clearly, and practice problems given were very helpful to implement the concepts learnt. Going through all topics thoroughly made me confident enough to crack the coding test and technical interviews of many top rated companies and got me a job at Oracle at a handsome pay. Kudos to GeeksforGeeks!!!

Nitin
Placed at Goldman Sachs
I recently got an offer from Goldman Sachs as an Analyst position. DSA Self paced course really helped me in complete preparation. I would like to thank Sandeep Jain Sir for making all the concepts crystal clear and the GeeksforGeeks team for providing a fantastic platform for interview preparation and practice.",Self-paced,3999,Beginner to Advance,no,"Most popular DSA course trusted by over 1,00,000+ students is now in the most popular language: JavaScript! Built with years of experience by industry experts this course gives you a complete package of lectures, practice problems, contests, and doubt support.
",5,The course content will be available for a period of 1 year from the date of purchase.,"Instruction by CEO & Founder Mr. Sandeep Jain.
45+ hours of recorded content for high-quality instruction.
Get 6 months of personalized 24x7 Doubt Assistance.
Practice with 200+ exclusive industry-specific problems.
Access video editorials and hints for DSA problems.
250+ MCQs, including output-based questions.
Real-time coding experience with 10 coding contests.
Comprehensive 8-week guided curriculum for easy learning.
Utilize supporting notes for quick revisions.
Extensive coverage of topics: Sorting, Strings, Heaps, Searching, Trees, etc.","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/data-structures-and-algorithms-in-javascript
8,OS DBMS CN for SDE Interview Preparation,Placement and Test Series,"Varun Trivedi
Placed in Infosys for SeS profile
I would like to thank GeeksforGeeks from the bottom of my heart for providing me with a platform to learn. I was able to crack the interview of Infosys with the assistance of this course. Sandeep Jain&#39;s sir way of teaching is exemplary. He makes difficult topics easy to understand. He focuses more on building the basics which I think is very important for a better understanding.

Yogesh jha
Placed in Yellow.ai as a Sde intern
I would like to thank, GfG for providing an amazing course covering all the CS fundamental subjects which are required to crack technical interviews. SDE Theory course helped me to build my concepts of core subjects like OS, DBMS, CN to get ready for the SDE job interview. Sandeep Jain sir has explained all the concepts in such a great manner that even a non-cs graduate having no prior knowledge of CS fundamentals subject can grasp it completely. I would like to thank Sandeep Jain sir for creating such an amazing course at such a minimal cost and also for making this amazing platform.",Self-paced,1699,Beginner to Intermediate,no,"Dont let under preparation hold you back. Strengthen your knowledge of important topics like Operating Systems, DBMS, Computer Networking, and more with our experts. Master these topics and fulfil your dream of becoming a top paid SDE.
",4.7,The course content will be available for a period of 1 year from the date of purchase.,"Master SDE theory: OS, DBMS, Networking, SQL.
Learn from industry expert, Mr. Sandeep Jain.
20+ hours of Premium Content
100+ objective-type questions are included.
Get 24/7 doubt assistance.
Access curated notes for quick revisions.
Multiple Contests for Self-Assessment
Crucial for top-tier tech interviews.
Gain a competitive edge with comprehensive knowledge.
Ideal for aspiring SDEs targeting IT giants.","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Sandeep Jain
Founder & CEO at GeeksforGeeks 

Mr. Sandeep Jain graduated from Dr. Abdul Kalam Technical University with a B.Tech in Computer Science and Engineering. He completed his Master's degree from IIT-Roorkee and has worked as a full-time Software Developer at D.E. Shaw & Co. His passion for teaching led him to join JIIT Noida as an Assistant Professor. He has mentored over 20,000+ students
","24 X 7 Doubt Support
A dedicated service provided with this course for free to help you overcome any doubt, at any time, and anywhere. So unleash your coding potential with confidence, as our Doubt Support service stands by your side! 

Benefits of this service: 

- Access to Expert TAs
- Prompt Response
- Tailored Guidance
- 1:1 Video & On-Call Support
& Much More

Now code with confidence, triumph over doubts, and level up your skills!",https://www.geeksforgeeks.org/courses/SDE-theory
9,iOS Development for Beginners: Master Swift & App Building for Free,Programming Languages,"Soham Pawar
I am loving the course; it is simple to understand. I have been interested in this course for a long time, and GeeksforGeeks provided it. Thank you, GeeksforGeeks.",Self-paced,0,Beginner ,no,"Discover the world of iOS app development with this free course. Dive into Swift basics, create your first iOS app, and pave the way for advanced learning. No cost, all gain! Begin your journey to mastery today.

",4.7,The course content will be available for a period of 1 year from the date of purchase.,"Practical Learning: From Swift basics to creating your first iOS app, this course focuses on hands-on experience, ensuring you can immediately apply what you learn.
Expert Mentorship: Our experienced mentors guide you throughout the course, providing real-time doubt-solving sessions, and enhancing your understanding of iOS development.
Comprehensive Resources: Access to e-learning materials, quizzes, practical assignments, and solutions to common problems equips you with industry-ready skills, boosting your confidence.","No, This course doesn't have any pre-requisite and is totally beginner friendly",No mentor data available for this course,"For any queries, please feel free to drop us an email at courses@geekforgeeks.org. We also provide doubt support to ensure that all your questions are answered and you have a seamless learning experience",https://www.geeksforgeeks.org/courses/iOS-Development-for-Beginners
10,"Building a Career in Test Automation with Java, Selenium Webdriver and Cucumber",Programming Languages,"Balamurugan T
Amazon
Nice course and helpful to improve skills.I have been interest in automation testing and this course have been very much helpful for learning testing
",Self-paced,0,Beginner to Advance,no,"Discover the world of Automated Testing and elevate your skills as a Software quality assurance expert. Get to essential frameworks to ensure reliable software, accelerate development cycles, and achieve testing success. Enroll now for a transformative learning journey toward excellence in software testing. REGISTER NOW FOR FREE BOOT CAMP!!!
",4.5,The course content will be available for a period of 1 year from the date of purchase.,"Live Program Key Benefits:
Master the Fundamentals of Software Testing.
Develop a foundation in Core Java programming, including variables, loops, functions
Learn Cucumber for Behavior-Driven Development
Explore Carrer Opportunities in Test Automation
Get a sneak peek at Selenium web drivers","No, This course doesn't have any pre-requisite and is totally beginner friendly","
Akhil Jain
SDET Lead at Ciena

Akhil is an experienced QA Professional working as SDET Lead. He has an overall experience of 12+ years. He possess diversified knowledge skill set covering Java, JavaScript, Python based Automation frameworks like Selenium, Protractor, WebDriver IO. He has experience of working on Web, Mobile, API, Database, Performance, System Testing, Designed Frameworks. He has knowledge of designing CI/CD pipeline using Jenkins, Gitlab, AWS. ","For any queries, please feel free to drop us an email at courses@geekforgeeks.org. We also provide doubt support to ensure that all your questions are answered and you have a seamless learning experience",https://www.geeksforgeeks.org/courses/career-test-automation-java-selenium-webdriver-cucumber
